version,compound,method,basis,epsilon,delta_total,delta_sigma,delta_pi
v8,Benzene C-C,HF,6-31G*,0.2316,0.1302,0.1784,-0.0481
v8,Naphthalene 0-1,HF,6-31G*,0.185,0.1017,0.2063,-0.1047
v8,Naphthalene 0-5,HF,6-31G*,0.0939,0.0481,0.1291,-0.081
v8,Naphthalene 0-6 (peri),HF,6-31G*,0.1877,0.1037,0.1591,-0.0553
v8,X1 Anthracene C1-C2,HF,6-31G*,0.0598,0.0347,0.1251,-0.0904
v8,X2 Phenanthrene C9-C10,HF,6-31G*,0.214,0.0931,0.1842,-0.0911
v8,Y1 Pyridazine C-C,HF,6-31G*,0.2243,0.134,0.1473,-0.0132
v8,Y2 Pyrimidine C-C,HF,6-31G*,0.236,0.1222,0.159,-0.0368
v8,Y3 Pyrazine C-C,HF,6-31G*,0.2544,0.1605,0.1606,-0.0001
v8,Y4 Imidazole C2-N3,HF,6-31G*,0.3072,0.2086,0.4633,-0.2548
v8,Y5 Oxazole C2-O1,HF,6-31G*,0.063,0.0501,0.3855,-0.3355
v8,Y6 Thiazole C2-S1,HF,6-31G*,0.5617,0.1618,0.2849,-0.123
v8,Z1 Octatetraene C1-C2,HF,6-31G*,0.4222,0.2217,0.2502,-0.0284
v8,AB1 Cyclobutane C-C,HF,6-31G*,0.0085,0.0008,0.0134,-0.0126
v8,AB2 Cyclopentane C-C,HF,6-31G*,0.0137,0.0084,0.0497,-0.0414
v8,AB3 Bicyclobutane C-C (bridge),HF,6-31G*,-3.6197,0.6816,0.8398,-0.1582
v8,AB4 Cyclohexane chair C-C,HF,6-31G*,0.0013,0.0006,0.0488,-0.0482
v8,AC1 Oxirane C-O,HF,6-31G*,0.175,0.2399,1.1261,-0.8862
v8,AC2 Aziridine C-N,HF,6-31G*,0.2854,0.3255,0.6021,-0.2766
v8,AC3 Thiirane C-S,HF,6-31G*,0.5929,0.1027,0.3919,-0.2892
v8,AD1 (CH3)2O C-O (二甲醚),HF,6-31G*,0.0696,0.0398,0.2791,-0.2392
v8,AD2 (CH3)2NH C-N (二甲胺),HF,6-31G*,0.0807,0.0482,0.0564,-0.0081
v8,AD3 (CH3)2S C-S (二甲硫醚),HF,6-31G*,0.4491,0.0959,0.21,-0.1141
v8,AE1 Fluorobenzene C-F,HF,6-31G*,0.1269,0.0593,0.4407,-0.3814
v8,AE2 Pyridine N-C,HF,6-31G*,0.0833,0.0593,0.2653,-0.206
v8,AF1 Acetic acid CH3-COOH (C-C),HF,6-31G*,0.0487,0.0235,0.0327,-0.0091
v8,AF2 Acetamide C-N (CH3-CO-NH2),HF,6-31G*,0.0794,0.038,0.0991,-0.0611
v8,AH1 H2NNH2 N-N (乙硅烷类比),HF,6-31G*,0.2041,0.1266,0.2807,-0.1541
v8,AH2 PH2-PH2 P-P,HF,6-31G*,0.2285,0.0275,0.0403,-0.0128
v8,AJ1 HCOOMe C-O (甲酸甲酯，ester),HF,6-31G*,0.1178,0.135,0.5788,-0.4438
v8,AK1 LiH Li-H,HF,6-31G*,0.0,0.0,0.0,0.0
v8,AK2 LiF Li-F,HF,6-31G*,0.0,0.0,0.017,-0.017
v8,AK3 NaH Na-H,HF,6-31G*,0.0,0.0,0.0004,-0.0004
v8,AO1 Toluene CH3-C ring,HF,6-31G*,0.0781,0.0514,0.1751,-0.1238
v8,"AP1 1,3-Oxazole N-C",HF,6-31G*,0.1113,0.0548,0.1509,-0.0961
v8,AR1 B2H6 B-H-B (bridge),HF,6-31G*,20.631,0.1255,0.163,-0.0375
v8,AS1 PH3-BH3 P-B (donor-acceptor),HF,6-31G*,0.5366,0.0379,0.0651,-0.0271
v8,"AU1 CH2 singlet C-H (cyclic, in CH2N2 like)",HF,6-31G*,0.0293,0.0225,0.0715,-0.0491
v8,AV1 H3CS-SCH3 S-S (dimethyl disulfide),HF,6-31G*,0.255,0.0425,0.0766,-0.0342
v9,Butadiene 1-2,HF,6-31G*,0.3493,0.1618,0.2431,-0.0813
v9,Butadiene 2-3,HF,6-31G*,0.0308,0.0285,0.5299,-0.5014
v9,Benzene C-C,HF,6-31G*,0.2316,0.1302,0.1784,-0.0481
v9,Naphthalene 0-1,HF,6-31G*,0.185,0.1017,0.2063,-0.1047
v9,Naphthalene 0-5,HF,6-31G*,0.0939,0.0481,0.1291,-0.081
v9,Naphthalene 0-6 (peri),HF,6-31G*,0.1877,0.1037,0.1591,-0.0553
v9,HCCH C≡C,HF,cc-pVTZ,0.0,0.0,0.2872,-0.2872
v9,N2 N≡N,HF,cc-pVTZ,0.0,0.0,0.845,-0.845
v9,Ethane C-C,HF,cc-pVTZ,0.0,0.0,0.0948,-0.0948
v9,Cyclopropane C-C,HF,cc-pVTZ,0.795,0.2304,0.3348,-0.1044
v9,BH3 B-H,HF,cc-pVTZ,0.2817,0.1066,0.1066,0.0
v9,Benzene C-C,HF,cc-pVTZ,0.2216,0.1376,0.1913,-0.0538
v9,Pyridine C2-C3,HF,cc-pVTZ,0.2291,0.1399,0.1862,-0.0463
v9,Furan C2-C3,HF,cc-pVTZ,0.395,0.1848,0.2238,-0.039
v9,N2F4 N-N,HF,cc-pVTZ,0.625,0.3573,0.4446,-0.0874
v9,NH3 N-H,HF,cc-pVTZ,0.0379,0.049,0.1259,-0.0769
v10,Butadiene 1-2,B3LYP,6-31G*,0.3493,0.1618,0.2431,-0.0813
v10,Butadiene 2-3,B3LYP,6-31G*,0.0308,0.0285,0.5299,-0.5014
v10,Benzene C-C,B3LYP,6-31G*,0.2316,0.1302,0.1784,-0.0481
v10,Naphthalene 0-1,B3LYP,6-31G*,0.185,0.1017,0.2063,-0.1047
v10,Naphthalene 0-5,B3LYP,6-31G*,0.0939,0.0481,0.1291,-0.081
v10,Naphthalene 0-6 (peri),B3LYP,6-31G*,0.1877,0.1037,0.1591,-0.0553
v11,Butadiene 1-2,CCSD,6-31G*,0.3493,0.1618,0.2431,-0.0813
v11,Butadiene 2-3,CCSD,6-31G*,0.0308,0.0285,0.5299,-0.5014
v11,Benzene C-C,CCSD,6-31G*,0.2316,0.1302,0.1784,-0.0481
v11,Naphthalene 0-1,CCSD,6-31G*,0.185,0.1017,0.2063,-0.1047
v11,Naphthalene 0-5,CCSD,6-31G*,0.0939,0.0481,0.1291,-0.081
v11,Naphthalene 0-6 (peri),CCSD,6-31G*,0.1877,0.1037,0.1591,-0.0553
v12,Butadiene 1-2,B3LYP-opt,6-31G*,0.3493,0.1618,0.2431,-0.0813
v12,Butadiene 2-3,B3LYP-opt,6-31G*,0.0308,0.0285,0.5299,-0.5014
v12,Benzene C-C,B3LYP-opt,6-31G*,0.2316,0.1302,0.1784,-0.0481
v12,Naphthalene 0-1,B3LYP-opt,6-31G*,0.185,0.1017,0.2063,-0.1047
v12,Naphthalene 0-5,B3LYP-opt,6-31G*,0.0939,0.0481,0.1291,-0.081
v12,Naphthalene 0-6 (peri),B3LYP-opt,6-31G*,0.1877,0.1037,0.1591,-0.0553
v13,Butadiene 1-2,B3LYP-opt,6-31G*,0.3493,0.1618,0.2431,-0.0813
v13,Butadiene 2-3,B3LYP-opt,6-31G*,0.0308,0.0285,0.5299,-0.5014
v13,Benzene C-C,B3LYP-opt,6-31G*,0.2316,0.1302,0.1784,-0.0481
v13,Naphthalene 0-1,B3LYP-opt,6-31G*,0.185,0.1017,0.2063,-0.1047
v13,Naphthalene 0-5,B3LYP-opt,6-31G*,0.0939,0.0481,0.1291,-0.081
v13,Naphthalene 0-6 (peri),B3LYP-opt,6-31G*,0.1877,0.1037,0.1591,-0.0553
